12.9219|36.3656|18.4599 1.14918 0.317034 1.01976
14.0996|28.5733|36.2757 0.429603 0.478319 0.281529
16.7501|26.6471|4.88691 0.13696 0.699033 0.518701
19.405|27.8622|25.1643 1.11006 0.926921 1.43317
21.3425|6.6352|32.3187 1.2165 1.21113 0.435448
21.5088|1.85913|2.01871 0.761401 1.0329 1.2352
22.2732|24.0711|14.5618 0.418259 0.917501 0.404161
22.493|17.1085|40.572 1.02762 0.499351 0.776489
22.8244|21.6592|5.83448 0.370483 0.911838 0.906224
23.025|13.3405|36.9531 0.717445 1.18393 0.334512
23.9553|17.478|31.4382 1.36621 0.00593877 1.09589
24.827|38.4549|24.9157 0.128919 0.491915 0.994792
34.5683|25.9559|0.308522 0.0932988 1.08379 0.00062362
35.1996|8.78862|9.46392 0.354016 0.158686 1.1693
36.367|30.2712|20.1344 1.06986 0.995856 0.190169
36.4756|28.1986|6.93245 0.816462 1.36181 0.679845
39.9049|27.2459|19.4261 0.603341 0.192932 1.51265
6.56005|3.03179|21.5782 0.0436919 0.649125 1.34664
8.20124|13.9834|17.5069 1.21409 0.495386 0.179421
9.97079|33.6222|16.6338 0.356219 0.561834 1.26272
0|12.95|35.6854 0.881409 0.715822 0.439098
0|39.5732|31.6558 0.574538 0.34372 0.524991
10.1754|21.6136|37.5782 1.47707 0.33776 1.40598
12.2106|5.8926|33.9429 0.382932 1.33431 0.583226
13.2709|3.33953|34.1728 0.620109 1.14414 0.387941
14.5712|14.3287|20.4179 0.320529 0.629852 1.49737
15.0486|9.97879|11.3076 0.222047 0.333547 0.691994
15.9922|37.7367|0.612743 0.322506 0.535914 0.76334
19.615|9.57204|11.5865 0.52571 0.816703 0.103584
21.875|20.6914|8.96209 0.348649 1.15404 0.0726966
22.2866|18.5085|14.9419 0.805474 0.803547 0.505807
26.1886|14.4065|13.0475 0.145514 0.353727 0.0356565
28.1972|11.5881|26.5384 0.222561 0.650228 1.15375
28.5367|31.4625|36.7077 0.707698 1.5083 0.763184
29.2099|7.99513|3.35143 1.1985 0.960131 0.760894
31.0945|14.4773|15.8389 0.1783 0.432925 1.03475
32.9491|13.5547|17.6949 0.370973 0.431489 0.312612
37.8291|21.2977|15.0055 1.32227 0.979225 0.0745093
4.25453|40.9407|40.2616 0.125869 1.10883 0.036652
7.7813|27.7056|36.7732 0.553167 1.51385 1.44936
0|1.54818|8.52171 0.799676 0.9396 0.832812
1.57393|20.1964|19.9959 0.268058 0.0693747 0.0671094
12.743|18.9865|34.4816 0.605874 0.159756 0.110412
13.9198|33.6285|12.1935 0.791996 0.141968 1.36895
14.4031|26.4855|20.2488 0.959298 0.446311 0.360467
15.0351|11.7546|14.5138 0.917243 1.32243 1.27174
16.9831|2.79262|21.4908 0.56577 0.829167 1.33526
17.3172|12.9693|8.04809 1.12141 0.271028 0.298707
17.6958|0|30.7939 1.29958 0.316294 1.34027
17.9857|27.7465|17.7193 0.226596 1.14266 1.08157
20.2025|17.1894|8.80863 0.91698 0.263226 1.35671
21.5359|39.1081|29.7858 0.341929 1.48003 1.11738
21.6602|29.1464|26.8425 0.164623 1.52264 1.52185
22.1763|15.6776|27.4334 1.52915 0.723872 1.1383
22.2264|24.3109|14.841 0.392723 0.341278 1.47833
23.2465|35.1613|18.2507 1.49873 0.112458 0.555259
25.7219|19.9061|35.2106 0.589266 0.852935 1.15267
3.69972|11.0862|19.1444 0.851869 1.28687 0.323887
31.4862|12.7348|12.9823 1.50385 0.223818 0.698891
34.4815|36.5884|31.7877 0.767297 0.195498 0.537808
1.45113|16.4373|1.6711 1.37299 1.45602 1.53798
13.3244|9.66934|9.78141 1.35774 1.32012 1.48997
16.0341|21.3388|23.8944 0.405847 0.442449 0.54034
16.7581|16.6092|1.61628 0.056142 0.966687 0.728036
18.2546|11.2513|35.6349 1.36312 0.798667 1.29147
18.5154|21.495|0.501245 1.13204 0.492601 1.34551
21.339|35.2015|10.5578 0.529843 0.27505 0.779443
21.3813|11.9389|8.28024 1.25163 0.367955 0.288456
25.6715|27.668|11.9852 0.500172 1.45346 1.13608
26.3166|23.1732|0 0.072119 0.418522 1.32963
26.7704|24.7457|6.61591 1.19692 1.03921 0.217848
29.0062|35.9142|34.1463 0.722611 1.1479 0.607816
31.2583|26.4562|27.0312 0.938594 0.243552 1.52312
34.6741|3.12124|8.15915 0.696115 1.03899 0.0113382
38.7286|22.4743|6.97766 1.45366 0.0835534 0.0751925
40.8807|4.30511|11.7679 1.37222 1.09891 0.922595
5.37358|27.61|40.9393 0.188234 1.33286 0.592034
5.64198|2.4771|13.6962 1.27386 1.53547 0.0734106
8.61558|13.3627|32.4613 1.26149 1.40296 0.259811
9.92371|15.817|36.2767 0.822918 0.876848 1.04258
0.951591|18.6445|12.342 1.36804 1.1698 0.81968
1.85025|13.8498|25.1221 0.925032 1.49602 0.166019
11.4117|20.9705|32.6381 0.404403 1.42849 1.14864
12.6367|22.8135|0.378593 0.0812078 0.198044 0.720978
16.1559|15.7528|9.81475 1.48747 1.5588 0.156909
18.7129|12.6959|36.4222 1.19405 0.64666 0.718724
19.8326|9.27451|6.82738 0.886553 1.41539 0.522932
23.0606|11.7443|17.7777 0.31547 0.457723 0.951173
26.2847|16.9918|31.3774 1.05673 0.0649549 0.333039
26.4079|25.3814|23.4819 1.14408 1.43503 0.501504
28.0305|3.54929|36.6023 1.12958 0.752936 0.44021
30.6405|17.0029|29.3524 1.1286 0.428442 1.41766
31.0549|32.5285|4.74669 0.901681 1.30073 1.42793
35.7228|9.62776|30.8212 0.43073 0.279439 0.454541
37.2011|8.4798|26.3159 1.23182 1.11262 0.331734
37.8823|22.219|21.7496 0.314883 0.304181 1.3382
38.8885|24.6637|14.2284 0.616336 0.297542 0.759197
39.711|19.3874|10.252 0.629943 0.832988 0.585453
4.56291|36.7931|3.50238 1.20162 1.42169 1.10923
9.62861|13.6672|19.105 0.578001 0.0138608 1.52412
10.8001|22.1845|34.9224 0.302895 0.497186 1.5552
16.1051|0.733002|14.3497 1.01235 0.459511 1.0231
18.9203|3.89219|2.95516 0.872685 0.91144 0.227961
19.8858|11.9953|1.11197 0.263021 0.199517 0.162111
2.20665|14.1927|12.8133 0.487081 1.1575 1.49612
2.70677|15.1238|32.4467 0.776417 1.5252 1.0315
20.8479|35.4902|23.3596 0.69374 1.23642 1.48817
22.5888|39.2289|24.5594 0.147983 1.43028 1.4714
24.5799|4.77333|3.32077 0.1119 1.19823 1.53967
25.4364|39.8853|5.57227 0.317962 0.23143 1.2771
25.9288|1.62415|27.4002 1.45324 0.18208 0.986177
26.2308|11.9144|7.24186 1.16708 0.132004 0.084999
26.5694|40.6053|34.7334 0.314184 0.551162 0.679261
27.611|30.433|20.8437 0.408906 0.205406 1.04939
35.4831|15.8808|33.1975 0.933769 0.920367 1.55625
36.4998|7.0904|26.8114 0.647118 1.56785 0.943527
4.56467|15.7151|15.8739 1.1342 0.0612861 0.114778
5.66617|14.5907|27.7733 1.06945 0.435166 1.20483
7.60121|2.18606|35.7542 1.32025 0.107914 1.17122
9.84807|5.76065|5.38951 0.65831 0.813485 0.339544
0.653529|19.1823|15.4793 1.37264 1.02513 1.05276
1.44294|11.9645|6.14821 0.522226 0.122478 0.349994
11.7812|34.7569|40.9206 0.0656103 0.912073 0.78914
12.2751|16.5332|11.3854 1.31915 1.12974 1.1399
13.3278|36.8746|8.70191 0.86574 1.27702 1.43575
14.0506|7.10494|10.8322 1.07406 0.858834 0.37533
16.4713|18.8577|11.8396 1.11773 0.294687 1.5671
18.1538|38.0214|21.8448 1.32802 0.226289 0.0915189
2.58676|2.40191|5.66526 1.28385 1.06243 1.46945
24.1913|38.864|39.9933 0.556424 0.0126767 0.714034
24.2206|30.6389|5.6465 0.849124 0.0551622 0.717203
35.3618|20.9737|15.8177 0.751324 0.785398 1.447
37.4208|26.5089|2.14385 1.43544 0.976239 0.830487
39.1347|23.7764|25.383 1.05642 1.27809 0.000513456
4.5687|5.2372|25.1457 0.91632 1.00712 0.274199
40.6254|37.3103|7.74937 0.759639 0.687233 0.127629
5.33054|24.7705|35.4557 1.48246 0.231235 0.929848
8.22508|34.3468|18.2017 1.01214 0.209025 1.19918
9.45189|39.8367|39.0184 0.0892677 0.447106 0.134563
9.97569|31.7084|12.9811 0.338058 1.04771 1.13558
10.0649|15.9732|34.1463 0.540627 0.982188 0.693868
10.6321|9.72006|23.1935 0.695712 0.834856 1.55857
17.8184|9.64731|23.5867 1.29512 0.431436 0.0332693
18.0504|13.8906|23.5783 0.912337 1.37617 0.749098
18.8011|9.95365|32.1597 0.574331 0.800153 1.01053
2.79159|29.9927|16.857 0.353345 0.0472952 0.0679148
