Size(A)  Probability_real    Probability_expected
5.6625  0  9.43611e-07
5.6875  0  8.82605e-07
5.7125  0  8.25654e-07
5.7375  0  7.72483e-07
5.7625  0  7.22833e-07
5.7875  0  6.76466e-07
5.8125  0  6.33157e-07
5.8375  0  5.927e-07
5.8625  0  5.54902e-07
5.8875  0  5.19583e-07
5.9125  0  4.86576e-07
5.9375  0  4.55726e-07
5.9625  0  4.26888e-07
5.9875  0  3.99926e-07
6.0125  0  3.74716e-07
6.0375  0  3.51141e-07
6.0625  0  3.29091e-07
6.0875  0  3.08466e-07
6.1125  0  2.8917e-07
6.1375  0  2.71115e-07
6.1625  0  2.54221e-07
6.1875  0  2.38409e-07
6.2125  0  2.23609e-07
6.2375  0  2.09753e-07
6.2625  0  1.96781e-07
6.2875  0  1.84635e-07
6.3125  0  1.73259e-07
6.3375  0  1.62604e-07
6.3625  0  1.52624e-07
6.3875  0  1.43273e-07
6.4125  0  1.34512e-07
6.4375  0  1.26302e-07
6.4625  0  1.18608e-07
6.4875  0  1.11395e-07
6.5125  0  1.04634e-07
6.5375  0  9.8295e-08
6.5625  0  9.23511e-08
6.5875  0  8.67769e-08
6.6125  0  8.15488e-08
6.6375  0  7.66447e-08
6.6625  0  7.2044e-08
6.6875  0  6.77274e-08
6.7125  0  6.36769e-08
6.7375  0  5.98756e-08
6.7625  0  5.63077e-08
6.7875  0  5.29585e-08
6.8125  0  4.98143e-08
6.8375  0  4.68621e-08
6.8625  0  4.40899e-08
6.8875  0  4.14864e-08
6.9125  0  3.9041e-08
6.9375  0  3.6744e-08
6.9625  0  3.45859e-08
6.9875  0  3.25583e-08
7.0125  0  3.06529e-08
7.0375  0  2.88623e-08
7.0625  0  2.71793e-08
7.0875  0  2.55972e-08
7.1125  0  2.41099e-08
7.1375  0  2.27114e-08
7.1625  0  2.13964e-08
7.1875  0  2.01598e-08
7.2125  0  1.89967e-08
7.2375  0  1.79026e-08
7.2625  0  1.68733e-08
7.2875  0  1.59049e-08
7.3125  0  1.49937e-08
