x  y  z   error
0.0785398  0.0785398  0.0785398  -18.3189
0.0785398  0.0785398  0.235619  -24.5112
0.0785398  0.0785398  0.392699  -19.8669
0.0785398  0.0785398  0.549779  -19.3509
0.0785398  0.0785398  0.706858  -14.7067
0.0785398  0.0785398  0.863938  -18.3189
0.0785398  0.0785398  1.02102  -13.1586
0.0785398  0.0785398  1.1781  -4.38621
0.0785398  0.0785398  1.33518  -1.29006
0.0785398  0.0785398  1.49226  -2.32211
0.0785398  0.235619  0.0785398  -23.4791
0.0785398  0.235619  0.235619  -25.0272
0.0785398  0.235619  0.392699  -19.8669
0.0785398  0.235619  0.549779  -17.8028
0.0785398  0.235619  0.706858  -12.1266
0.0785398  0.235619  0.863938  -15.2227
0.0785398  0.235619  1.02102  -5.93428
0.0785398  0.235619  1.1781  -6.96633
0.0785398  0.235619  1.33518  -3.87018
0.0785398  0.235619  1.49226  -0.774037
0.0785398  0.392699  0.0785398  -19.8669
0.0785398  0.392699  0.235619  -14.7067
0.0785398  0.392699  0.392699  -21.931
0.0785398  0.392699  0.549779  -15.7387
0.0785398  0.392699  0.706858  -13.1586
0.0785398  0.392699  0.863938  -11.6106
0.0785398  0.392699  1.02102  -7.99838
0.0785398  0.392699  1.1781  -8.5144
0.0785398  0.392699  1.33518  -6.45031
0.0785398  0.392699  1.49226  -0.774037
0.0785398  0.549779  0.0785398  -19.3509
0.0785398  0.549779  0.235619  -17.2868
0.0785398  0.549779  0.392699  -16.2548
0.0785398  0.549779  0.549779  -10.0625
0.0785398  0.549779  0.706858  -9.03043
0.0785398  0.549779  0.863938  -9.54645
0.0785398  0.549779  1.02102  -7.99838
0.0785398  0.549779  1.1781  -2.83813
0.0785398  0.549779  1.33518  -2.32211
0.0785398  0.549779  1.49226  0.258012
0.0785398  0.706858  0.0785398  -16.2548
0.0785398  0.706858  0.235619  -13.6747
0.0785398  0.706858  0.392699  -8.5144
0.0785398  0.706858  0.549779  -13.6747
0.0785398  0.706858  0.706858  -10.0625
0.0785398  0.706858  0.863938  -5.93428
0.0785398  0.706858  1.02102  -4.90223
0.0785398  0.706858  1.1781  -3.87018
0.0785398  0.706858  1.33518  -1.29006
0.0785398  0.706858  1.49226  -1.29006
0.0785398  0.863938  0.0785398  -15.7387
0.0785398  0.863938  0.235619  -10.5785
0.0785398  0.863938  0.392699  -5.93428
0.0785398  0.863938  0.549779  -9.54645
0.0785398  0.863938  0.706858  -4.90223
0.0785398  0.863938  0.863938  -5.93428
0.0785398  0.863938  1.02102  -2.83813
0.0785398  0.863938  1.1781  -3.35416
0.0785398  0.863938  1.33518  -1.80609
0.0785398  0.863938  1.49226  0.258012
0.0785398  1.02102  0.0785398  -11.0945
0.0785398  1.02102  0.235619  -8.5144
0.0785398  1.02102  0.392699  -9.54645
0.0785398  1.02102  0.549779  -9.03043
0.0785398  1.02102  0.706858  -6.96633
0.0785398  1.02102  0.863938  -6.45031
0.0785398  1.02102  1.02102  -6.45031
0.0785398  1.02102  1.1781  -1.80609
0.0785398  1.02102  1.33518  0.258012
