Step  Penalty
50  0.522466
100  0.504845
150  0.4921
200  0.484359
250  0.47529
300  0.463868
350  0.450538
400  0.433367
450  0.417289
500  0.403552
550  0.390771
600  0.376546
650  0.364326
700  0.353133
750  0.342922
800  0.335047
850  0.325737
900  0.317036
950  0.307787
1000  0.299472
1050  0.292195
1100  0.284828
1150  0.279338
1200  0.273034
1250  0.268451
1300  0.264761
1350  0.260795
1400  0.258156
1450  0.255138
1500  0.252376
1550  0.249639
1600  0.246805
1650  0.243648
1700  0.240895
1750  0.238366
1800  0.236589
1850  0.235139
1900  0.233911
1950  0.232255
2000  0.231209
2050  0.230242
2100  0.22943
2150  0.228876
2200  0.227908
2250  0.227053
2300  0.225734
2350  0.22484
2400  0.224013
2450  0.223351
2500  0.222748
2550  0.222044
2600  0.221324
2650  0.220563
2700  0.219966
2750  0.219404
2800  0.218813
2850  0.218144
2900  0.21747
2950  0.216799
3000  0.21602
3050  0.215568
3100  0.215049
3150  0.214538
3200  0.214148
3250  0.213813
3300  0.213551
3350  0.213247
3400  0.213053
3450  0.212888
3500  0.212742
3550  0.212603
3600  0.212307
3650  0.212149
3700  0.212028
3750  0.211869
3800  0.211464
3850  0.211171
3900  0.2109
3950  0.210778
4000  0.210612
4050  0.210341
4100  0.210099
4150  0.209986
4200  0.209707
4250  0.209604
4300  0.209519
4350  0.209277
4400  0.209072
4450  0.20873
4500  0.20841
4550  0.208008
4600  0.207573
4650  0.207291
4700  0.207068
4750  0.206893
4800  0.206667
4850  0.206554
4900  0.206361
4950  0.206071
5000  0.205854
5050  0.205503
5100  0.205294
5150  0.205093
5200  0.204997
5250  0.204907
5300  0.20477
5350  0.20466
5400  0.20448
5450  0.204153
5500  0.203929
5550  0.203427
5600  0.2033
5650  0.203045
5700  0.202935
5750  0.202676
5800  0.202576
5850  0.202372
5900  0.202173
5950  0.20209
6000  0.201908
6050  0.201618
6100  0.201528
6150  0.20137
6200  0.201168
6250  0.20102
6300  0.200846
6350  0.200774
6400  0.200682
6450  0.200633
6500  0.200585
6550  0.200388
6600  0.20029
6650  0.200138
6700  0.200026
6750  0.199812
6800  0.199673
6850  0.199553
6900  0.199493
6950  0.199397
7000  0.199378
7050  0.199327
7100  0.199134
7150  0.19887
7200  0.19857
7250  0.198481
7300  0.198106
7350  0.19804
7400  0.197766
7450  0.197668
7500  0.197549
7550  0.197468
7600  0.197354
7650  0.197127
7700  0.197025
7750  0.197008
7800  0.196895
7850  0.196811
7900  0.196782
7950  0.196769
8000  0.196692
8050  0.196556
8100  0.196518
8150  0.196377
8200  0.196376
8250  0.196302
8300  0.196228
8350  0.196182
8400  0.196135
8450  0.196063
8500  0.196003
8550  0.19583
8600  0.195796
8650  0.195633
8700  0.195588
8750  0.195361
8800  0.195176
8850  0.195142
8900  0.195135
8950  0.195066
9000  0.195028
9050  0.194982
9100  0.194943
9150  0.194908
9200  0.194828
9250  0.194828
9300  0.194828
9350  0.19474
9400  0.19474
9450  0.194663
9500  0.194555
9550  0.194468
9600  0.194268
9650  0.19417
9700  0.19416
9750  0.194092
9800  0.193993
9850  0.193987
9900  0.193956
9950  0.193956
10000  0.193865
10050  0.193824
10100  0.193749
10150  0.19369
10200  0.193586
10250  0.193546
10300  0.193525
10350  0.193521
10400  0.193389
10450  0.193268
10500  0.193179
10550  0.193097
10600  0.193097
10650  0.193025
10700  0.193002
10750  0.192915
10800  0.192873
10850  0.192766
10900  0.192766
10950  0.192766
11000  0.192755
11050  0.192725
11100  0.192708
11150  0.192584
11200  0.192573
11250  0.192567
11300  0.19251
11350  0.192447
11400  0.192395
11450  0.192392
11500  0.192392
11550  0.192315
11600  0.1923
11650  0.192215
11700  0.192109
11750  0.191931
11800  0.191846
11850  0.191838
11900  0.191835
11950  0.191765
12000  0.191762
12050  0.191736
12100  0.191735
12150  0.191665
12200  0.191632
12250  0.191609
12300  0.191573
12350  0.191513
12400  0.191405
12450  0.191405
12500  0.191375
12550  0.191375
12600  0.191375
12650  0.191375
12700  0.191375
12750  0.191356
12800  0.191332
12850  0.191265
12900  0.191246
12950  0.191189
13000  0.19115
13050  0.19115
13100  0.191102
13150  0.191092
13200  0.191092
13250  0.191073
13300  0.191073
13350  0.191073
13400  0.191035
13450  0.191033
13500  0.191023
13550  0.191023
13600  0.190992
13650  0.190912
13700  0.190877
13750  0.190877
13800  0.190858
13850  0.190761
13900  0.190761
13950  0.190761
14000  0.190713
14050  0.190708
14100  0.190708
14150  0.190641
14200  0.190638
14250  0.190638
14300  0.190542
14350  0.190516
14400  0.190504
14450  0.190503
14500  0.190474
14550  0.190418
14600  0.190406
14650  0.190406
14700  0.190344
14750  0.19034
14800  0.190339
14850  0.190314
14900  0.190255
14950  0.190248
15000  0.190196
15050  0.19012
15100  0.190083
15150  0.190024
15200  0.189987
15250  0.189987
15300  0.189937
15350  0.189922
15400  0.189901
15450  0.189847
15500  0.189847
15550  0.189847
15600  0.189847
15650  0.189842
15700  0.189827
15750  0.189825
15800  0.189824
15850  0.189773
15900  0.18976
15950  0.189687
16000  0.189687
16050  0.189669
16100  0.189667
16150  0.189667
16200  0.189658
16250  0.189658
16300  0.189655
16350  0.189637
16400  0.189643
16450  0.189637
16500  0.189625
16550  0.189627
16600  0.189623
16650  0.189553
16700  0.189557
16750  0.189541
16800  0.189502
16850  0.189502
16900  0.189502
16950  0.189502
17000  0.189502
17050  0.1895
17100  0.189488
17150  0.189475
17200  0.189475
17250  0.189475
17300  0.189423
17350  0.189423
17400  0.189423
17450  0.18941
17500  0.189337
17550  0.189278
17600  0.189275
17650  0.189271
17700  0.18924
17750  0.189233
17800  0.189204
17850  0.189129
17900  0.189135
17950  0.18911
18000  0.189053
18050  0.189008
18100  0.188973
18150  0.188974
18200  0.188978
18250  0.18895
18300  0.18895
18350  0.188911
18400  0.18886
18450  0.18886
18500  0.188853
18550  0.188853
18600  0.188791
18650  0.188782
18700  0.188767
18750  0.188734
18800  0.188734
18850  0.188722
18900  0.18871
18950  0.18871
19000  0.188653
19050  0.188646
19100  0.188559
19150  0.188483
19200  0.188483
19250  0.188465
19300  0.188465
19350  0.188361
19400  0.188361
19450  0.18825
19500  0.18825
19550  0.18825
19600  0.18825
19650  0.18825
19700  0.18825
19750  0.188196
19800  0.188123
19850  0.18812
19900  0.18811
19950  0.18811
20000  0.18811
20050  0.187961
20100  0.187921
20150  0.187917
20200  0.187903
20250  0.187836
20300  0.187822
20350  0.187697
20400  0.187641
20450  0.187636
20500  0.187549
20550  0.187506
20600  0.187503
20650  0.187464
20700  0.187422
20750  0.187357
20800  0.187275
20850  0.187254
20900  0.18722
20950  0.187137
21000  0.186989
21050  0.18697
21100  0.18686
21150  0.186771
21200  0.186668
21250  0.186598
21300  0.186518
21350  0.186381
21400  0.186242
21450  0.186156
21500  0.186151
21550  0.186093
21600  0.186086
21650  0.186072
21700  0.186012
21750  0.185971
21800  0.185914
21850  0.185828
21900  0.185776
21950  0.185687
22000  0.185635
22050  0.185601
22100  0.185571
22150  0.18551
22200  0.185505
22250  0.185427
22300  0.185322
22350  0.185271
22400  0.185238
22450  0.185111
22500  0.18499
22550  0.184958
22600  0.184916
22650  0.184843
22700  0.184762
22750  0.184741
22800  0.184727
22850  0.184657
22900  0.184657
22950  0.184573
23000  0.184501
23050  0.184409
23100  0.184335
23150  0.184239
23200  0.184227
23250  0.184207
23300  0.18416
23350  0.184095
23400  0.184045
23450  0.183888
23500  0.183741
23550  0.183692
23600  0.183594
23650  0.183505
23700  0.183442
23750  0.183342
23800  0.183298
23850  0.183253
23900  0.183241
23950  0.183189
24000  0.183033
24050  0.182852
24100  0.182748
24150  0.182477
24200  0.182427
24250  0.182328
24300  0.182201
24350  0.182047
24400  0.182047
24450  0.181953
24500  0.181759
24550  0.181649
24600  0.181611
24650  0.181569
24700  0.181476
24750  0.181202
24800  0.180977
24850  0.180919
24900  0.180801
24950  0.18062
25000  0.18057
25050  0.180459
25100  0.180358
25150  0.180253
25200  0.18011
25250  0.179957
25300  0.179796
25350  0.179531
25400  0.179425
25450  0.179173
25500  0.179043
25550  0.178974
25600  0.178915
25650  0.178809
25700  0.178713
25750  0.178586
25800  0.17851
25850  0.178496
25900  0.178422
25950  0.178372
26000  0.17833
26050  0.178237
26100  0.178232
26150  0.178038
26200  0.177997
26250  0.177922
26300  0.17788
26350  0.177849
26400  0.177857
26450  0.177717
26500  0.177716
26550  0.177713
26600  0.177609
26650  0.177606
26700  0.177564
26750  0.177477
26800  0.17742
26850  0.177387
26900  0.177242
26950  0.177145
27000  0.177069
27050  0.177063
27100  0.176939
27150  0.176827
27200  0.176797
27250  0.176702
27300  0.176534
27350  0.176464
27400  0.17647
27450  0.176409
27500  0.176418
27550  0.17635
27600  0.176311
27650  0.176255
27700  0.176238
27750  0.176223
27800  0.176196
27850  0.176143
27900  0.176122
27950  0.176095
28000  0.175956
28050  0.175905
28100  0.175886
28150  0.175884
28200  0.175876
28250  0.175854
28300  0.175758
28350  0.175682
28400  0.175643
28450  0.175573
28500  0.175493
28550  0.175439
28600  0.175408
28650  0.175412
28700  0.175365
28750  0.175333
28800  0.175258
28850  0.175225
28900  0.175146
28950  0.175084
29000  0.175075
29050  0.175031
29100  0.174907
29150  0.174804
29200  0.174691
29250  0.174645
29300  0.174547
29350  0.174472
29400  0.174377
29450  0.174217
29500  0.17418
29550  0.174046
29600  0.17401
29650  0.173888
29700  0.173704
29750  0.173358
29800  0.173221
29850  0.172996
29900  0.172842
29950  0.172749
30000  0.172573
30050  0.172495
30100  0.171929
30150  0.171751
30200  0.171605
30250  0.171153
30300  0.170992
30350  0.170846
30400  0.170533
30450  0.170459
30500  0.170158
30550  0.169928
30600  0.169644
30650  0.169631
30700  0.169441
30750  0.169042
30800  0.168957
30850  0.1689
30900  0.168703
30950  0.168655
31000  0.168633
31050  0.168494
31100  0.168379
31150  0.168079
31200  0.168043
31250  0.167921
31300  0.167852
31350  0.167743
31400  0.167647
31450  0.167626
31500  0.167472
31550  0.167333
31600  0.167279
31650  0.167199
31700  0.167072
31750  0.167034
31800  0.166871
31850  0.16687
31900  0.166683
31950  0.166636
32000  0.166602
32050  0.16655
32100  0.166398
32150  0.166363
32200  0.166077
32250  0.165999
32300  0.165965
32350  0.165803
32400  0.165733
32450  0.165573
32500  0.165533
32550  0.165414
32600  0.16532
32650  0.165289
32700  0.165287
32750  0.165234
32800  0.165061
32850  0.164951
32900  0.164811
32950  0.164767
33000  0.164753
33050  0.164713
33100  0.164619
33150  0.164613
33200  0.164532
33250  0.164456
33300  0.164401
33350  0.164246
33400  0.164106
33450  0.164064
33500  0.164038
33550  0.164063
33600  0.16404
33650  0.163961
33700  0.163908
33750  0.163928
33800  0.163858
33850  0.163758
33900  0.16376
33950  0.163716
34000  0.163664
34050  0.163568
34100  0.163523
34150  0.163286
34200  0.163127
34250  0.162995
34300  0.162897
34350  0.162858
34400  0.162789
34450  0.16248
34500  0.16216
34550  0.162117
34600  0.161871
34650  0.161535
34700  0.161355
34750  0.161305
34800  0.161109
34850  0.161149
34900  0.161083
34950  0.160944
35000  0.160863
35050  0.160684
35100  0.160572
35150  0.160431
35200  0.16026
35250  0.160183
35300  0.159986
35350  0.15985
35400  0.159615
35450  0.159463
35500  0.159131
35550  0.159025
35600  0.158947
35650  0.158838
35700  0.158626
35750  0.158489
35800  0.15847
35850  0.158424
35900  0.158245
35950  0.158135
36000  0.157914
36050  0.157817
36100  0.157588
36150  0.157579
36200  0.157539
36250  0.15746
36300  0.157467
36350  0.157327
36400  0.157157
36450  0.157136
36500  0.157011
